TIMESTAMP,X,Y,Z
19.16.21.679,-3.189221859,-11.31956673,1.428308487
19.16.21.750,-4.343374252,-13.36076164,5.029708385
19.16.21.814,-4.48700285,-13.38308907,-0.471393466
19.16.21.889,-1.81307447,-15.92371655,0.196519032
19.16.21.953,-2.109760761,-9.774671555,-0.674549639
19.16.22.013,0.632516742,-3.992540598,-0.692923963
19.16.22.091,0.099658675,-4.302431583,-1.815800309
19.16.22.153,1.490186572,-5.752345562,2.772150278
19.16.22.222,-0.513255298,-12.23308945,11.77964687
19.16.22.289,-0.301415592,-13.52563763,7.660490513
19.16.22.352,0.939868808,-10.17122269,-3.689050436
19.16.22.422,-3.041552544,-8.704545021,-1.10724926
19.16.22.490,-2.276827335,-8.670646667,0.273625672
19.16.22.558,-1.257971048,-8.025855064,0.582858801
19.16.22.616,-2.509775639,-7.364845753,0.445836961
19.16.22.687,-1.214398742,-10.41997433,0.940412641
19.16.22.761,-3.93250823,-13.27681637,2.73728466
19.16.22.816,-3.402680874,-13.59926128,4.741930008
19.16.22.894,-2.171143055,-13.07042694,-2.221866846
19.16.22.953,-0.756385446,-14.03312588,0.769403517
19.16.23.013,-0.206924856,-6.705502987,-0.357528985
19.16.23.101,0.38266626,-3.798215389,-1.816308975
19.16.23.150,0.654714227,-4.772929668,-0.143601403
19.16.23.203,2.344425917,-10.73004913,9.421599388
19.16.23.284,1.166451812,-11.33290291,8.677950859
19.16.23.347,-0.880298495,-13.60976696,-0.639863551
19.16.23.405,0.463148624,-6.87396574,-0.214407116
19.16.23.486,-2.771739483,-9.818912506,-1.160510421
19.16.23.545,-0.690092385,-7.777536869,0.225358382
19.16.23.606,-1.876259208,-8.176542282,1.109182477
19.16.23.684,-1.270624161,-9.411337852,0.521034896
19.16.23.747,-2.595270634,-12.35355949,1.264332175
19.16.23.805,-2.027186871,-13.74880219,6.367878914
19.16.23.882,-2.302262306,-14.22940063,-2.818872213
19.16.23.947,0.050325722,-14.24796581,1.191326857
19.16.24.023,0.422649562,-8.706339836,-0.710841715
19.16.24.091,0.049538285,-3.839422703,-1.112569332
19.16.24.146,0.382656157,-4.218167782,-1.123289108
19.16.24.226,2.149513245,-7.704737663,6.718693256
19.16.24.280,1.284892797,-12.90489197,10.71606636
19.16.24.343,0.213720441,-14.29905701,-0.548635483
19.16.24.428,1.702894092,-6.524250984,0.762990952
19.16.24.483,-3.054894924,-9.877415657,-1.912577271
19.16.24.542,-0.449356854,-7.915307045,-0.016689084
19.16.24.623,-2.059996128,-8.076280594,1.212510705
19.16.24.684,-0.816058218,-9.271729469,0.828767478
19.16.24.741,-1.841819882,-12.6165657,1.981016397
19.16.24.822,-2.021701574,-13.94386482,5.926894665
19.16.24.883,-0.375911653,-14.55025482,-3.097228765
19.16.24.942,-0.722803354,-14.73537445,1.959933043
19.16.25.020,0.622492313,-7.891068935,-1.438841939
19.16.25.080,-0.082485408,-3.640714407,-1.360824704
19.16.25.141,0.321929842,-3.770259619,-1.947925925
19.16.25.224,2.531026125,-9.61058712,9.448282242
19.16.25.281,2.158578396,-12.01738548,9.182722092
19.16.25.335,0.038589951,-13.99886608,-2.223340988
19.16.25.417,0.439099342,-6.910906792,0.539885223
19.16.25.477,-2.01638341,-9.406528473,-1.193339944
19.16.25.536,0.078226537,-8.091882706,0.426116526
19.16.25.615,-1.918342352,-7.747330189,1.468545556
19.16.25.675,-0.484327734,-9.568216324,0.424165785
19.16.25.735,-2.425746918,-13.09638596,2.026379824
19.16.25.817,-2.216178656,-14.25279903,6.297629356
19.16.25.876,0.172076821,-13.71124935,-4.327169895
19.16.25.938,0.048014458,-14.90243053,1.765339851
19.16.26.027,0.793129683,-7.280248165,-1.00348103
19.16.26.087,-0.206058383,-3.430618763,-1.508184075
19.16.26.166,1.029513001,-3.852249861,-1.171674848
19.16.26.225,2.462064505,-10.21966934,9.081338882
19.16.26.284,2.410741806,-12.05697441,9.000614166
19.16.26.359,0.080438346,-14.80090237,-2.266927481
19.16.26.418,0.439915925,-6.321820736,0.316336036
19.16.26.482,-1.933309793,-9.823304176,-0.369343579
19.16.26.557,-0.258645445,-8.078495026,0.225813076
19.16.26.616,-1.460215926,-7.499376774,0.34971261
19.16.26.683,-0.183708847,-9.238900185,1.099181652
19.16.26.755,-2.16267252,-12.26957607,1.633433461
19.16.26.822,-2.86497736,-15.63926888,4.786188602
19.16.26.875,2.350889683,-13.81654167,-2.725956678
19.16.26.957,-3.023947239,-13.90104103,2.022096872
19.16.27.024,0.590598345,-8.871988297,-0.885328829
19.16.27.082,0.045098599,-4.252418518,-0.746862173
19.16.27.172,0.427994043,-3.215275764,-1.694748878
19.16.27.219,2.693713665,-7.663839817,5.215491295
19.16.27.274,2.82294035,-13.8693943,11.23538589
19.16.27.352,-0.748385489,-13.01527691,1.972644567
19.16.27.411,3.494716644,-7.165492535,-0.738984764
19.16.27.467,-3.692114592,-10.36102104,-1.081948638
19.16.27.552,-0.287448823,-8.341135979,0.470378518
19.16.27.611,-1.357342362,-7.905014992,0.64477998
19.16.27.671,-1.088451862,-8.264442444,1.121843934
19.16.27.754,-0.746069789,-11.55618668,1.171302199
19.16.27.812,-1.502844691,-14.20001221,4.400166035
19.16.27.876,-2.010704279,-14.66023827,-0.287103325
19.16.27.950,-0.491178513,-13.91629601,-0.567487359
19.16.28.012,0.049004823,-12.17734337,-1.321145535
19.16.28.092,1.216216207,-4.104830265,-0.177192017
19.16.28.152,-0.196587503,-3.781475544,-1.136093616
19.16.28.211,1.464887023,-5.491405964,2.075534582
19.16.28.292,2.546566725,-13.43370819,11.87715816
19.16.28.349,2.481051445,-11.63106728,6.234529972
19.16.28.407,1.146609306,-9.673449516,-3.695109606
19.16.28.491,-2.09355092,-9.62799263,-0.803942978
19.16.28.548,-0.981960833,-8.530418396,1.081840158
19.16.28.610,-0.329678565,-7.83783102,0.358011723
19.16.28.692,-1.292216659,-7.998361588,0.567488909
19.16.28.750,-0.328362644,-10.60368347,1.279026508
19.16.28.808,-2.451943398,-13.74708176,1.821055055
19.16.28.889,-2.500991344,-14.96317101,5.496560574
19.16.28.946,2.184510231,-12.38494778,-4.483568668
19.16.29.009,-0.080830604,-15.16022396,2.293111324
19.16.29.088,0.056811936,-6.269332409,-1.123916388
19.16.29.150,0.684723735,-3.085803986,-1.308834076
19.16.29.209,0.974670768,-4.282212734,0.048433155
19.16.29.285,2.981761456,-9.932512283,9.315553665
19.16.29.356,2.465260506,-12.88158989,10.34658432
19.16.29.404,0.268233478,-13.03343487,-1.056826353
19.16.29.486,0.83774662,-5.646710873,-0.586050987
19.16.29.547,-1.169277549,-9.768354416,0.136519894
19.16.29.604,-0.768540978,-8.389280319,0.492117167
19.16.29.684,-0.54804045,-7.801751137,1.160736203
19.16.29.749,-1.35080266,-9.078813553,1.180478454
19.16.29.803,-1.265783668,-11.58520889,0.997282028
19.16.29.883,-1.348386168,-14.49789047,4.055347919
19.16.29.945,-1.897460103,-15.1226902,0.004790157
19.16.30.004,1.136870623,-13.0157423,0.211556926
19.16.30.087,-0.296427637,-11.46607494,0.322214782
19.16.30.143,0.985998392,-4.569457054,-0.194871098
19.16.30.229,0.388689935,-2.676548481,-2.402093887
19.16.30.291,2.005899668,-5.467262745,4.219130516
19.16.30.343,3.8461411,-13.23946571,10.92559338
19.16.30.422,3.459584475,-10.5731163,5.732550144
19.16.30.481,0.167883039,-11.61282253,-2.425688028
19.16.30.544,-1.489641547,-9.038275719,-0.600610495
19.16.30.620,-0.389019698,-9.419487,0.586321652
19.16.30.681,-0.757496953,-7.599944592,0.958550215
19.16.30.741,-0.748344243,-7.627093315,0.681181908
19.16.30.822,0.358911127,-10.32726479,1.408699512
19.16.30.881,-1.946391463,-13.28879166,3.112835169
19.16.30.941,-2.964091778,-15.6373806,3.657689333
19.16.31.021,1.782933116,-12.3422451,-2.076066256
19.16.31.083,-1.018800735,-14.87386894,0.639747798
19.16.31.139,1.583481669,-5.26074934,-0.132397741
19.16.31.220,0.174640983,-3.085700989,-2.546842575
19.16.31.286,1.533609033,-4.55168438,0.519558191
19.16.31.341,2.891651154,-12.74230194,11.18869209
19.16.31.421,2.03203702,-12.0401144,7.187574863
19.16.31.481,1.442185998,-11.41107082,-4.230394363
19.16.31.542,-1.447247863,-9.232130051,-1.141979575
19.16.31.621,-1.514947772,-9.277990341,1.657513261
